Market,Ticker,Name,Close,Total Score,Market(30),Sector(30),Stock(50),Ichi(15),EMA Trend,EMA Stack,Entry Signal,Candle Trig,RSI,ATR,Entry Zone,SL (1.5 ATR),TP1 (2R),TP2 (3R)
COMMODITY,PSX,Phillips 66,187.61,85,0,30,40,15,YES,FULL,no,no,74.3,5.72,187.61,179.03,204.77,213.35
OSLO,SUBC.OL,Subsea 7,292.0,80,0,15,50,15,YES,FULL,YES,no,74.5,9.23,292.0,278.16,319.68,333.52
OSLO,TGS.OL,TGS NOPEC,132.5,80,0,15,50,15,YES,FULL,YES,no,79.4,3.95,132.5,126.57,144.35,150.28
OSLO,YAR.OL,Yara,559.8,80,0,15,50,15,YES,FULL,YES,no,65.2,18.92,559.8,531.42,616.57,644.95
OSLO,NHY.OL,Norsk Hydro,101.45,80,0,20,50,10,YES,FULL,YES,no,68.3,4.06,101.45,95.36,113.63,119.73
SP500,SO,Southern Company,97.29,75,0,15,50,10,YES,FULL,YES,no,59.1,1.67,97.29,94.79,102.3,104.81
OSLO,AKSO.OL,Aker Solutions,45.7,70,0,15,40,15,YES,FULL,no,no,71.3,1.3,45.7,43.75,49.6,51.55
OSLO,AKER.OL,Aker ASA,1074.0,70,0,15,40,15,YES,FULL,no,no,61.5,31.6,1074.0,1026.61,1168.79,1216.18
STOCKHOLM,ERIC-B.ST,Ericsson,107.0,70,0,15,40,15,YES,FULL,no,no,54.5,3.13,107.0,102.3,116.4,121.11
SP500,NFLX,Netflix,94.0,70,0,15,42,13,YES,no,YES,no,56.3,2.71,94.0,89.93,102.13,106.2
OSLO,HAUTO.OL,Hoegh Autoliners,135.3,70,0,15,40,15,YES,FULL,no,no,59.3,5.43,135.3,127.15,151.6,159.75
STOCKHOLM,TELIA.ST,Telia,47.96,70,0,15,40,15,YES,FULL,no,no,64.8,0.83,47.96,46.71,50.46,51.71
SP500,MO,Altria,66.91,67,0,15,42,10,no,no,no,no,60.5,1.32,66.91,64.93,70.88,72.86
SP500,COST,Costco,1002.93,67,0,15,42,10,no,no,no,no,57.8,16.64,1002.93,977.97,1052.84,1077.8
OSLO,HAFNI.OL,Hafnia,73.38,65,0,15,40,10,YES,FULL,no,no,62.1,3.0,73.38,68.88,82.38,86.88
SP500,LIN,Linde,501.51,65,0,15,40,10,YES,FULL,no,no,60.3,10.91,501.51,485.15,534.23,550.6
OSLO,FRO.OL,Frontline,332.7,65,0,15,40,10,YES,FULL,no,no,56.2,16.68,332.7,307.68,382.73,407.75
STOCKHOLM,TEL2-B.ST,Tele2,192.6,65,0,15,40,10,YES,FULL,YES,no,59.6,3.61,192.6,187.18,203.44,208.86
SP500,KO,Coca-Cola,76.77,64,0,15,42,7,no,no,no,no,52.3,1.26,76.77,74.88,80.54,82.43
SP500,WMT,Walmart,124.28,62,0,15,42,5,no,no,no,no,52.2,2.6,124.28,120.38,132.08,135.99
SP500,PEP,PepsiCo,157.46,59,0,15,42,2,no,no,no,no,52.3,3.35,157.46,152.44,167.5,172.52
OSLO,TEL.OL,Telenor,168.1,56,0,15,34,7,no,no,no,no,48.4,3.18,168.1,163.33,177.65,182.42
SP500,PFE,Pfizer,27.39,55,0,0,40,15,YES,FULL,YES,no,54.7,0.62,27.39,26.45,29.26,30.19
OSLO,NOD.OL,Nordic Semi,148.6,55,0,0,40,15,YES,FULL,no,no,51.5,6.9,148.6,138.25,169.3,179.65
SP500,JNJ,Johnson & Johnson,241.91,52,0,0,42,10,no,no,no,no,56.6,4.04,241.91,235.85,254.04,260.1
